category,real_name,alias,title,affiliation,citizenship,date_of_birth,date_of_death,species,gender,status,clearance,comic,game,movie,one_shot,portrayed_by,ser_no,tv_series,voiced_by,web_series
Hero,Anthony Edward Stark,"Tony Stark, Iron Man, The New Kid, Visionary, Genius, American Patriot, The Prodigal Son, Real Patriot, Boss, Wonder Boy, The Most Famous Mass-Murderer in the History of America, The Great Tony Stark, The Golden Goose, The Mysterious Bodyguard, The Starkster, Da Vinci of Our Time, The Merchant of Death, Iron Monger, Little Prick, The Consultant, Robotic Wunderkind, Howardson, Metal Man, Shellhead, Big Man in a Suit of Armor, Billionaire, Playboy, Philanthropist, The Mechanic, Billionaire in a Flying Metal Suit, The Legionnaire, The Man That Killed the Avengers, The Homeless Person On The Couch, The Futurist, Tin Can, Tony Stank, Douchebag, Chattering Animal, Earth's Greatest Defender, Howard Potts, Almonzo, The Jester King, Boozy Man Child, The World's Greatest Hero",CEO of Stark Industries (formerly)Consultant (formerly),MIT (formerly) Stark Industries S.H.I.E.L.D. (formerly) Avengers Damage Control,American,"May 29, 1970",October 2023,Human,Male,Deceased,NA,"Iron Man: Fast Friends, Iron Man: Security Measures, Iron Man: I Am Iron Man!Iron Man: The Price of Doing Business (non-canon)Iron Man 2: Security Breach, Iron Man: Will Online Evils Prevail?Iron Man 2: Nick Fury: Director of S.H.I.E.L.D.Iron Man 2: Public Identity, Iron Man 2: Phil Coulson: Agent of S.H.I.E.L.D. (mentioned)Iron Man: Limited Edition, Iron Man 2: Black Widow: Agent of S.H.I.E.L.D.Iron Man Royal Purple Custom Comic, Iron Man 2: Fist of Iron, The Avengers Prelude: Fury's Big Week, The Avengers: Iron Man Mark VIIThe Avengers Prelude: Black Widow Strikes (footage)The Avengers: The Avengers Initiative (flashback)Iron Man 2 Adaptation, Iron Man 3 Prelude, Thor Adaptation (mentioned)Iron Man: The Coming of the Melter, Thor: The Dark World Prelude, The Avengers Adaptation, Avengers: Age of Ultron Prelude - This Scepter'd Isle, Avengers: Operation HYDRAAvengers: Age of Ultron Episode 0The Avengers: Cutting Edge, Doctor Strange: Episode 0 (picture)Captain America: Civil War Prelude, Captain America: Road to War, Spider-Man: Homecoming Prelude, Black Panther Prelude (footage)Avengers: Infinity War Prelude, Captain Marvel Prelude, Avengers: Endgame Prelude, Spider-Man: Far From Home Prelude",Iron ManThe Incredible HulkIron Man 2Iron Man 3 - The Official GameCaptain America: The Winter Soldier - The Official Game (mentioned),"Iron Man, The Incredible Hulk (pre-credits scene)Iron Man 2Thor (mentioned)The Avengers, Iron Man 3Captain America: The Winter Soldier (picture)Avengers: Age of Ultron, Ant-Man (mentioned)Captain America: Civil War, Guardians of the Galaxy Vol. 2 (mentioned; deleted scene)Spider-Man: Homecoming, Thor: Ragnarok (mentioned)Avengers: Infinity War, Avengers: Endgame, Spider-Man: Far From Home (flashback)",The Consultant (archive footage)All Hail the King (mentioned)Peter's To-Do List (mentioned; unreleased),"Robert Downey, Jr.Davin Ransom (young)",NA,Agents of S.H.I.E.L.D. (mentioned)Daredevil (mentioned)Luke Cage (mentioned)Runaways (figure)Cloak & Dagger (mentioned),"Ari Ross, Stephen Stanton, Eric Loomis, Adrian Pasdar",WHiH Newsfront (footage)Team Thor (mentioned)Team Thor: Part 2 (drawing)
Villain,Calvin L. Johnson,"Calvin Zabo[1]Cal, Monster, Murderer, Lunatic, The Doctor, Daddy Dearest, Winslow",Doctor,Doctors Without Borders (formerly)Slicing Talons (formerly),American,NA,May 2015 (revived),Human,Male,Alive,NA,NA,NA,NA,NA,"Kyle Mac, Lachlan",NA,Agents of S.H.I.E.L.D. (14 episodes),NA,NA
Hero,Jaco,"Gunman, Monster, Jaco the Giant, Old Soul, Large Large Man, Big Guy, Runt of the Litter, Dragon, Big Man, Dragonbreath, Big Dude, The Runt",NA,Sarge's Squad (formerly),NA,NA,2019,NA,Male,Deceased,NA,NA,NA,NA,NA,Winston James Francis,NA,Agents of S.H.I.E.L.D. (7 episodes),NA,NA
Villain,Camilla Reyes,NA,Comandante,Peruvian Armed ForcesPolicia Militar del Perú,Peruvian,NA,NA,Human,Female,In Custody,NA,NA,NA,NA,NA,Leonor Varela,NA,Agents of S.H.I.E.L.D.*0-8-4,NA,NA
Hero,Jacques Dernier,"Frenchie, Prisoner #03691",NA,French Resistance Howling Commandos,French,"January 2, 1911[1]",NA,Human,Male,Deceased,NA,"Captain America: First Vengeance, Captain America: The First Avenger Adaptation",Captain America: Super Soldier (mentioned),"Captain America: The First Avenger, Captain America: The Winter Soldier (picture)Spider-Man: Homecoming (photo)",NA,Bruno Ricci,03691,Agents of S.H.I.E.L.D.*Aftershocks (picture),NA,NA
Villain,Candice Lee,NA,NA,HYDRA,American,NA,NA,Human,Female,Alive,NA,NA,NA,NA,NA,Shontae Saldana,NA,Agents of S.H.I.E.L.D. (5 episodes),NA,NA
Hero,James Montgomery Falsworth,"Limey, Monty, Prisoner #49275",Brigadier,British Armed Forces*3rd Independent Parachute Brigade (formerly) Howling Commandos,British English,"January 2, 1914[1]",NA,Human,Male,Deceased,NA,"Captain America: First Vengeance, Captain America: The First Avenger Adaptation",Captain America: Super Soldier,"Captain America: The First Avenger, Captain America: The Winter Soldier (picture)Spider-Man: Homecoming (photo)",NA,JJ Feild,NA,Agents of S.H.I.E.L.D.*Aftershocks (picture),NA,NA
Villain,Carl Hoffman,NA,Detective (formerly),NYPD (formerly),American,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Daryl Edwards,NA,Daredevil (5 episodes),NA,NA
Hero,Jane Foster,"The Mortal, The World's Most Foremost Astronomer, Pretty Pants",Doctor,Culver University,American,NA,NA,Human,Female,Alive,NA,"Thor Adaptation, The Avengers Prelude: Fury's Big Week, Thor: The Dark World Prelude, Avengers: Operation HYDRAThor: Ragnarok Prelude",NA,"Thor, The Avengers (picture)Thor: The Dark World, Avengers: Age of Ultron (mentioned)Thor: Ragnarok (mentioned)Avengers: Endgame, Thor: Love and Thunder (unreleased)",NA,"Natalie Portman, Elsa Pataky[1]",NA,Agents of S.H.I.E.L.D. (mentioned),NA,WHiH Newsfront (mentioned)Team Thor (drawing)
Villain,Carlo Mancini,NA,NA,Cybertek,Italian,NA,"March 16, 2014",Human,Male,Deceased,NA,NA,NA,NA,NA,T.J. Ramini,NA,Agents of S.H.I.E.L.D.*T.R.A.C.K.S.,NA,NA
Hero,Janet van Dyne,Wasp,NA,S.H.I.E.L.D. (formerly),American,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Female,Alive,NA,Ant-Man and the Wasp Prelude (flashback),NA,"Ant-Man, Ant-Man and the Wasp, Avengers: Endgame",NA,"Michelle Pfeiffer, Hayley Lovitt (young)Paul Rudd (while possessing Scott Lang)",NA,NA,NA,NA
Villain,Carson Wolf,NA,Special Agent in Charge,Guantanamo Bay (formerly) DHSCerberus Squad (formerly),American,NA,November 2016,Human,Male,Deceased,NA,NA,NA,NA,NA,C. Thomas Howell,NA,The Punisher (3 episodes),NA,NA
Hero,Jemma Anne Simmons,"Fitz, Simmons (with Leo Fitz)Professor, Furiosa, Miss Beaks, Poppins, The Hammer, Hope, British Lady, Little Pop Tart, A Real Miracle Worker, Watson, The Doc, The Invincible Three (with Leo Fitz and Yo-Yo Rodriguez)Nana, Dame Judi Dench, Better Half, The Supreme, Absolute Worst, Id Simmons, Fitz, Simmons: The Brain, Sick, Twisted Piece of Work, Jane Goodall","Doctor, Agent of S.H.I.E.L.D.*Special Advisor to the Director In Science and Technology (formerly)",S.H.I.E.L.D. Academy of Science and Technology (formerly) S.H.I.E.L.D.* Coulson's Team (formerly) HYDRA (formerly; undercover) S.H.I.E.L.D. (formerly; Framework)Izel's Crew (formerly),British English,"September 11, 1987[1][2]",NA,Human,Female,Alive,Level 5 (formerly)Level Orange (formerly),Agents of S.H.I.E.L.D.: The Chase,NA,NA,NA,"Elizabeth Henstridge, Ava Mireille (seven years old)",A 0956307,Agents of S.H.I.E.L.D. (122 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (1 episode)
Villain,Catherine Henderson (nubile)Catherine Wilder,"Cat, Tenderoni Lawyer, Amy Bradner",NA,PRIDE,American,NA,NA,Human,Female,In Custody,NA,NA,NA,NA,NA,Angel Parker,NA,Runaways (21 episodes),NA,NA
Hero,Jessica Campbell Jones,"Jess, Jessie, Karen Accord, Sherlock, J. Pannuccio, Paragon of Mental Health, The Sandwich, Jewel, Harpy, Freakish Thug, Cougar, Wannabe Gumshoe, Patient Zero, Katya Bell-Hortense, P.I. Lady, Rebound Chick, The Smart Ass Detective, Anna Asher, Super Joan Jett, The Unyielding Woman, The Fire, The Vigilante Hero, Boss, Vigilante Superhero, Ticking Time-Bomb, Freak, One of Them, Top-Shelf Pervert, Super Lady, Freak Show, Aberration, Anne, Marie, Elizabeth, Ginger, Jackie Charles, Killer, JJThrid-Rate Joan Jett Wannabe, Mallory, Lucia, Spleenless",NA,Alias InvestigationsDefenders (formerly),American,1985-1986,Spring 2000 (revived),Human,Female,Alive,NA,Jessica Jones,NA,NA,NA,"Krysten Ritter, Elizabeth Cappuccino (young)",NA,Daredevil (mentioned)Jessica Jones (39 episodes) Luke Cage (mentioned)Iron Fist (mentioned)The Defenders (8 episodes),NA,NA
Villain,NA,NA,NA,Enclave,American,NA,NA,Human,Female,Alive,NA,NA,The Incredible Hulk,NA,NA,NA,NA,NA,Simbi Khali,NA
Hero,James Morita,Jim Morita,Private,United States Army (formerly) Howling Commandos,American,"October 20, 1919[1]",NA,Human,Male,Deceased,NA,"Captain America: First Vengeance, Captain America: The First Avenger Adaptation",Captain America: Super Soldier,"Captain America: The First Avenger, Captain America: The Winter Soldier (picture)Spider-Man: Homecoming (picture)",NA,Kenneth Choi,NA,Agents of S.H.I.E.L.D.*Shadows (flashbacks)*Aftershocks (pictures),NA,NA
Villain,Chen,NA,NA,Chinatown Crew,Chinese,NA,NA,Human,Male,Deceased,NA,NA,NA,NA,NA,Jen Kuo Sung,NA,Agents of S.H.I.E.L.D. (3 episodes),NA,NA
Hero,José Gutierrez,"Joey Gutierrez, Joe, Rookie, Angel Perrenoud",NA,S.H.I.E.L.D. (formerly) Secret Warriors (formerly),NA,NA,NA,Inhuman,Male,Alive,NA,NA,NA,NA,NA,Juan Pablo Raba,NA,Agents of S.H.I.E.L.D. (6 episodes),NA,NA
Villain,Chen Wu,One-Eyed Sycophant,NA,Golden Tigers (formerly),Chinese,NA,Late 2017,Human,Male,Deceased,NA,NA,NA,NA,NA,Funan Chien,NA,Iron Fist (7 episodes),NA,NA
Hero,Karl Mordo,NA,Master (formerly),Masters of the Mystic Arts (formerly),NA,NA,NA,Human,Male,Alive,NA,"Doctor Strange Prelude, Doctor Strange Prelude - The Zealot, Avengers: Infinity War Prelude (flashback)",NA,"Doctor Strange, Doctor Strange in the Multiverse of Madness[1](unreleased)",NA,Chiwetel Ejiofor,NA,NA,NA,NA
Villain,Christian Blake,NA,Detective,NYPD,American,NA,2015,Human,Male,Deceased,NA,NA,NA,NA,NA,Chris Tardio,NA,Daredevil (4 episodes),NA,NA
Hero,Karnak Mander-Azur,"The Visionary, Asian Dude with Face Tats, Face Tats, The All Mighty Karnak, The All Powerful Karnak, The Great Karnak",NA,Inhuman Royal Family,Attilan,NA,NA,Inhuman,Male,Alive,NA,NA,NA,NA,NA,Ken Leung,NA,Inhumans (8 episodes),NA,NA
Villain,Christian Ward,NA,Senator,United States Congress,American,NA,2015,Human,Male,Deceased,NA,NA,NA,NA,NA,"Tim De, Kay, Alex Neustaedter (Young)",NA,Agents of S.H.I.E.L.D. (3 episodes),NA,NA
Hero,Karolina Dean,"Church Girl, Rainbow Brite, Freak, Lacrosse Ruining Slut, Blondie, Real Life Disney Princess, Human Glow Stick, The Radiance, Angel, Messiah",NA,Atlas Academy (formerly) Church of Gibborim (formerly)Runaways,American,Early 2001[1][2][3][4],NA,Human/Gibborim Hybrid,Female,Alive,NA,NA,NA,NA,NA,"Virginia Gardner, Valentina Gordon (young)",NA,Runaways (23 episodes),NA,NA
Villain,Dontrell Hamilton,"Cockroach, Uncouth N*gga, Ignorant Bastard",NA,NA,American,NA,August 2017[1][2],Human,Male,Deceased,NA,NA,NA,NA,NA,Dorian Crossmond Missick,NA,Luke Cage (4 episodes),NA,NA
Hero,Korg,"Pile of Rocks, Dickhead",NA,Sakaaran Rebellion,AsgardianSakaaran (formerly),NA,NA,Kronan,Male,Alive,NA,NA,NA,"Thor: Ragnarok, Avengers: Endgame, Thor: Love and Thunder[1](unreleased)",NA,Taika Waititi,NA,NA,NA,NA
Villain,Darius Jones,"Comanche, Che, Jailbird Homeboy, Dirty Ass Snitch",NA,Rivals (formerly)Stokes Crime Family,American,NA,"August 29, 2017[1][2]",Human,Male,Deceased,NA,NA,NA,NA,NA,Thomas Q. Jones,NA,Luke Cage (10 episodes),NA,NA
Hero,Kraglin Obfonteri,NA,First Mate,Ravagers* Yondu Ravager Clan,NA,NA,NA,Xandarian[1],Male,Alive,NA,Guardians of the Galaxy Vol. 2 Prelude,NA,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2 Avengers: Endgame, Guardians of the Galaxy Vol. 3 (unreleased)",NA,Sean Gunn,NA,NA,NA,NA
Villain,Basil Sandhurst,Controller,NA,A.I.M.,American,NA,NA,Human,Male,Unknown,NA,NA,Iron Man,NA,NA,NA,NA,NA,Jim Ward,NA
Hero,Kurt,Three Wombats (with Luis and Dave),NA,X-Con Security Consultants,Russian,NA,NA,Human,Male,Alive,NA,Ant-Man and the Wasp Prelude,NA,"Ant-Man, Ant-Man and the Wasp",NA,David Dastmalchian,NA,NA,NA,NA
Villain,Corbin,NA,Officer (formerly),NYPD (formerly),American,NA,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,Angel Rosa,NA,Daredevil*World on Fire*Condemned*Daredevil,NA,NA
Hero,Amadeus Ravenclaw Hunter,"Lance Hunter, Tyler, Trainspotting, Soccer Hands, Divorced Guy, Ron Burgundy, Magnum, P.I.Teacup, Great Master of Melodrama, Richy, Gitmo, Dane, God Save The Queen, Rusty Peltzer, Blackwell, Brit",Lieutenant (formerly)Agent of S.H.I.E.L.D. (formerly),British Armed Forces (formerly)*Special Air Service (formerly) S.H.I.E.L.D. (formerly) HYDRA (undercover; formerly),British English,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Nick Blood,NA,Agents of S.H.I.E.L.D. (34 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot*Reunion (indirectly mentioned)
Villain,Cordo Gaines,NA,NA,Ten Rings,NA,NA,NA,Human,Male,Alive,NA,Iron Man: Will Online Evils Prevail?,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Andrew Garner,"Lash, Random Civilian Number 14Drew, Great White Shark, Pitbull, Rasta Hulk, Gandhi, The Ugly",Doctor,Brown University (formerly) S.H.I.E.L.D. (formerly) Culver University,American,NA,June 2016,Inhuman,Male,Deceased,NA,NA,NA,NA,NA,Blair Underwood (Andrew Garner)Matthew Willig (Lash),NA,Agents of S.H.I.E.L.D. (11 episodes),NA,NA
Villain,Corvus Glaive,NA,NA,Black Order,NA,NA,Spring 2018[1][2][3](original self)October 2023 (time-traveled version from 2014),NA,Male,Deceased,NA,Avengers: Endgame Prelude,NA,"Guardians of the Galaxy (indirectly mentioned)Avengers: Infinity War, Avengers: Endgame",NA,Michael Shaw,NA,NA,NA,NA
Hero,Leopold James Fitz,"Leo Fitz, Fitz, Simmons (with Jemma Simmons)Doctor Fitzy, Mishka, Little Bear, Our Little Monkey, The Gadget Guy, Turbo, Cartoon Puppy Dog, Nerd Herd (with Alphonso Mackenzie)Andaz, Backseat Science Department, Slide Rule, Coach, The Doctor, Dr. Watson, The Big Bad Brain of S.H.I.E.L.D.Jimmy Futterman, Lochner, Boshtok the Marauder, Mr. Simmons-Fitz, Grandpa, Grandpappy, The Invincible Three (with Jemma Simmons and Yo-Yo Rodriguez)Bobo, Gramps, Bestie",Agent of S.H.I.E.L.D.Doctor,S.H.I.E.L.D. S.H.I.E.L.D. Academy of Science and Technology (formerly) Coulson's Team (formerly) HYDRA (Framework; formerly)Izel's Crew (formerly),British Scottish,"August 19, 1987",Spring 2018 (alternate timeline version),Human,Male,AliveDeceased (alternate timeline),Level 5 (formerly)Level Green (formerly),Agents of S.H.I.E.L.D.: The Chase,NA,NA,NA,"Iain De Caestecker, Patrick John Hurley (disguise)",A 0947329,Agents of S.H.I.E.L.D. (119 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (1 episode)
Villain,Cornell Bertram Stokes,"Cottonmouth, Thing One, The King, Charlie Mack, Corny, Gangster Number One, Mo",NA,Stokes Crime FamilyHarlem's Paradise,American,1972-1973[1][2],"November 30, 2015",Human,Male,Deceased,NA,NA,NA,NA,NA,"Mahershala Ali, Elijah Boothe (teenager)Jayden D. Brown (young)",NA,Luke Cage (7 episodes),NA,NA
Hero,Lincoln Campbell,"Linc, Sparkplug, Grandpa, The Hulk, Shake 'n Bake (with Daisy Johnson)Sparky, Blondie, Stinkin' Lincoln, Electro Boy, Hothead, Sparks, The Bad, Electric Company, Pretty Boy, Boyfriend of the Year","Doctor, Agent of S.H.I.E.L.D.",S.H.I.E.L.D. Secret Warriors (formerly),American,"April 17, 1985",June 2016,Inhuman,Male,Deceased,NA,NA,NA,NA,NA,Luke Mitchell,A 84G77846[1],Agents of S.H.I.E.L.D. (25 episodes),NA,NA
Villain,NA,Crank,NA,Ryhno's Gang,American,NA,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,Sky Lakota-Lynch,NA,Iron Fist*Heart of the Dragon*Citadel on the Edge of Vengeance*War Without End,NA,NA
Hero,Loki Laufeyson,"Loki Odinson, God of Mischief, Prince of Lies, Loki of Asgard, Cow, Master of Magic, Your Majesty, Son of Odin, Son of Laufey, The Worthy Son, The Rightful King of Asgard, Asgardian, Reindeer Games, The Would-Be King, Ant, Real Power, Rock of Ages, Brother of Thor, Puny God, The War Criminal, Loki of Jotunheim, The Asgardian Mussolini, Odin, Little Blue Baby Icicle, Ghost, Lackey, Peace Offering, Liesmith, The Rightful King of Jotunheim, Savior","God of Mischief, Prince of Asgard (formerly)King of Asgard (formerly; twice)",Asgardian Royal FamilySakaaran Rebellion (formerly),Jotun (formerly) Asgardian,965 A.D.,Spring 2018 (original timeline),Frost Giant,Male,Deceased (original timeline)Alive (alternate timeline),NA,"Thor, The Mighty Avenger, The Avengers Prelude: Fury's Big Week, The Avengers: The Avengers Initiative (mentioned)Thor Adaptation, Thor: The Dark World Prelude, Thor: Crown of Fools (hallucination)The Avengers Adaptation, Avengers: Age of Ultron Prelude - This Scepter'd Isle, Thor: Ragnarok Prelude, Avengers: Infinity War Prelude, Avengers: Endgame Prelude",Thor: God of ThunderThor: The Dark World - The Official Game,"Thor, The Avengers, Thor: The Dark World, Avengers: Age of Ultron (mentioned)Captain America: Civil War (mentioned)Doctor Strange (mentioned)Thor: Ragnarok, Avengers: Infinity War, Avengers: Endgame",NA,"Tom Hiddleston, Ted Allpress (young)Chris Evans (illusion)Brett Tucker (illusion)Anthony Hopkins (illusion)",NA,Agents of S.H.I.E.L.D. (mentioned)Loki (unreleased),David Wells,WHiH Newsfront (footage)Team Thor (photograph)
Villain,Brock Rumlow,Crossbones,Agent of S.H.I.E.L.D. (formerly)STRIKE Commander (formerly),"HYDRA (formerly) S.H.I.E.L.D. (formerly, undercover)* STRIKE (formerly, undercover)",American,NA,"May 3, 2016",Human,Male,Deceased,NA,"Captain America: The Winter Soldier Infinite Comic, Captain America: Homecoming (mentioned)Avengers: Age of Ultron Prelude - This Scepter'd Isle, Captain America: Civil War Prelude, Captain America: Civil War Prelude Infinite Comic, Spider-Man: Homecoming Prelude",NA,"Captain America: The Winter Soldier, Captain America: Civil War, Avengers: Endgame",NA,Frank Grillo,NA,NA,NA,WHiH Newsfront (footage)
Hero,Luis,"Daddy Three Wombats (with Dave and Kurt)Boss, Human Jukebox",NA,X-Con Security Consultants,American,NA,NA,Human,Male,Alive,NA,Ant-Man - Scott Lang: Small Time (mentioned)Ant-Man and the Wasp Prelude,NA,"Ant-Man, Ant-Man and the Wasp",NA,Michael Peña,NA,NA,NA,NA
Villain,Cull Obsidian,NA,NA,Black Order,NA,NA,Spring 2018[1][2][3](original self)October 2023 (time-traveled version from 2014),NA,Male,Deceased,NA,Avengers: Endgame Prelude,NA,"Guardians of the Galaxy (indirectly mentioned)Avengers: Infinity War, Avengers: Endgame",NA,Terry Notary,NA,NA,NA,NA
Hero,Carl Lucas (formerly)Luke Cage (legally changed),"Mr. Bulletproof, Bulletproof Man, Power Man, Mayweather, Country Boy, Big Man, Shawshank, Muscle-Headed Fugitive, Dishwasher, The Bartender, Some Dude in a Hoodie, Some Big Black Dude in a Hoodie, Convict, Luke Freeman, The Gun, Wise Guy, Dishwasher Lazarus, Jesus, Half-Houdini, Half-Ali, Stranger With Arcane Abilities, Ice Cream, Harlem's Captain America, Bulletproof Nigga, Harlem's Hero, Macho Man, False Idol, Golden Calf, Hero of Harlem, Walking Fountain of Youth, The Miracle Baby, The Harlem Menace, Miracle Whip, Freak, Hero for Hire, Hole-y Hero, Public Enemy Number One, The Righteous Ex-Con, The Man With Unbreakable Skin, The Superstar, The Big Guy, The Unbreakable One, The Man Who Does Not Break, Bulletproof Black Man, Brown-eyed Handsome Man, Ghetto Boogeyman, Soul Brother Number One, Dark Chocolate Boy Scout, Luther, Willie Horton with Bulletproof Skin, Gigolo, Celebrity Superhero, Pet Nigga, Pet Bitch, Dark Chocolate Boy Scout, Kick-ass Kissinger, Jailbird, The Preacher's Son, Sweetheart, Luke Corleone, Luke Trump, The Rook, Man with Bulletproof Skin",Sheriff (formerly),United States Marine Corps (formerly)Savannah Police Department (formerly)Luke's (formerly)Pop's Barber Shop (formerly)Harlem's ParadiseDefenders,American,Spring 1980[1][2],NA,Human,Male,Alive,NA,NA,NA,NA,NA,"Mike Colter, David Austin (young)Clifton Cutrary (young)",NA,Daredevil (mentioned)Jessica Jones (8 episodes)Luke Cage (26 episodes)Iron Fist (mentioned)The Defenders (8 episodes)Cloak & Dagger (picture),NA,NA
Villain,Andre Deschaine,"D'Spayre, Mr. Popularity, Dre",NA,NA,American,NA,November 2017[1](physical body),Human (formerly)Loa,Male,Deceased (physical body)Unknown (Loa form),NA,NA,NA,NA,NA,"Brooklyn Mc, Linn",NA,Cloak & Dagger (7 episodes),NA,NA
Hero,M'Baku,"Your Highness, Great Gorilla","Leader of the Jabari Tribe, Lord",Jabari TribeTribal Council,Wakandan,NA,NA,Human,Male,Alive,NA,Avengers: Endgame Prelude,NA,"Black Panther, Avengers: Infinity War, Avengers: Endgame",NA,Winston Duke,NA,NA,NA,NA
Villain,NA,"Daisy Fleet, Daisy-Bot, One of Anton Ivanov's Tin Cans",NA,Holden RadcliffeAida,NA,NA,NA,Life-Model Decoys,Female (feminine programming & voice),Destroyed,NA,NA,NA,NA,NA,Chloe Bennet,NA,Agents of S.H.I.E.L.D.*Self Control*World's End,NA,NA
Hero,Makkari,NA,NA,NA,NA,NA,NA,Eternal,Female,Alive,NA,NA,NA,The Eternals (unreleased),NA,Lauren Ridloff,NA,NA,NA,NA
Villain,Dale Holiday,"Evil Prick, Twisted Sadistic Shithead","Officer, Head of Security",New York City Department of Correction,American,NA,Mid-2017[1][2],Human,Male,Deceased,NA,NA,NA,NA,NA,Brian Hutchison,NA,Jessica Jones*AKA Pork Chop*AKA Three Lives and Counting,NA,NA
Hero,Mantis,"Gross Bug Lady, Flea with a Purpose, Pet, Chick with the Antennae",NA,Guardians of the Galaxy,NA,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),NA,Female,Alive,NA,Avengers: Endgame Prelude,NA,"Guardians of the Galaxy Vol. 2Avengers: Infinity War, Avengers: Endgame, Guardians of the Galaxy Vol. 3 (unreleased)[1]",NA,Pom Klementieff,NA,NA,NA,NA
Villain,Dale Sheldon Yorkes,NA,Co-Leader of Synnergy,Synnergy PRIDE (formerly),NA,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Kevin Weisman,NA,Runaways (22 episodes),NA,NA
Hero,Maria Rambeau,"Photon, Young Lady",Captain (formerly),United States Air Force (formerly)*Project P.E.G.A.S.U.S. (formerly),American,NA,NA,Human,Female,Alive,NA,NA,NA,Captain Marvel,NA,Lashana Lynch,NA,NA,NA,NA
Villain,Werner Reinhardt,"Daniel Whitehall63635Old Man, Nazi Bastard",Obergruppenführer (formerly)Doctor,Schutzstaffel (formerly) HYDRA,Nazi German (formerly) American,"October 9, 1904",March 2015,Human,Male,Deceased,NA,NA,NA,NA,NA,Reed Diamond,63635,Agents of S.H.I.E.L.D. (9 episodes),NA,NA
Hero,Mayhem,"Brigid O'Reilly, Force of Destruction, Half a Woman, The Scary Half",Detective,NOPD,NA,"February 28, 2017[1][2][3][4]",NA,NA,Female,Alive (merged with Brigid O'Reilly),NA,NA,NA,NA,NA,Emma Lahana,NA,Cloak & Dagger (8 episodes),NA,NA
Villain,Daniels,NA,Officer,NOPD,American,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Shawn Parsons,NA,Cloak & Dagger*Colony Collapse,NA,NA
Hero,Medusalith Amaquelin,"Medusa, The Snakes, My Queen",Queen of the Inhumans,Inhuman Royal Family,Attilan,NA,NA,Inhuman,Female,Alive,NA,NA,NA,NA,NA,"Serinda Swan, V.I.P. (young)",NA,Inhumans (8 episodes),NA,NA
Villain,Darius Davis,D,NA,Crips,American,NA,January 2018,Human,Male,Deceased,NA,NA,NA,NA,NA,"De, Vaughn Nixon",NA,Runaways (8 episodes),NA,NA
Hero,Melinda Qiaolian May,"Mellie, Rambo, The Cavalry, The Beautiful Warrior with the Heart of Ice, Warm and Fuzzy (with Grant Ward)Doctor Roum, The Ice Queen, Heidi Martin, Gina, Shu Wong, The Warrior (in the Framework)Ancient Has-Been, Lady Cakes, Smiles",Agent of S.H.I.E.L.D.Agent of S.H.I.E.L.D. (Framework; formerly)Agent of HYDRA (Framework; formerly),S.H.I.E.L.D. Coulson's Team (formerly) STRIKEFramework S.H.I.E.L.D. (formerly) HYDRA (formerly),American,NA,March 2017 (later revived),Human,Female,Alive (in stasis),Level 7 (formerly)Level Red (formerly),Agents of S.H.I.E.L.D.: The Chase,NA,NA,NA,"Ming-Na Wen, Riley Go (young)",A 078634[1],Agents of S.H.I.E.L.D. (120 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (2 episodes)
Villain,David Alan Angar,NA,NA,Slicing Talons,American,NA,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,Jeff Daniel Phillips,NA,Agents of S.H.I.E.L.D.*One of Us,NA,NA
Hero,NA,"Melinda May, The May LMDMay Life-Model Decoy, Killer Androids (with the other LMDs)Robot May",NA,S.H.I.E.L.D.,NA,"April 12, 2017","April 30, 2017",Life-Model Decoy,Female (feminine programming & voice),Destroyed,NA,NA,NA,NA,NA,Ming-Na Wen,NA,Agents of S.H.I.E.L.D. (7 episodes),NA,NA
Villain,Davos,"Second Best, Fool, Mystery Man, Davis, Danton, David, Dayvos, Arrogant Prick, Iron Fist, Dude with a Glowing Fist, Sick Bastard, A Vegetarian That Kills People, Lunatic, Murdering Psychopath, The Boss, A Paragon of Virtue, The Last Son of K'un-Lun",The Immortal Iron Fist (formerly)Shifu (formerly),Order of the Crane Mother (formerly)Ryhno's Gang (formerly),K'un-Lunan,1990-1991,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,"Sacha Dhawan, Shiv Pai (young)",NA,Iron Fist (15 episodes),NA,NA
